variant_id,family,timm_name,depth_tier,resolution_tier,resolution_px,params_m,lr,batch_size,status,test_loss,test_acc,test_auc,test_precision,test_sensitivity,test_specificity,test_f1,test_mcc,tested_at
swin_S1,swin,swin_small_patch4_window7_224,small,lo,384,48.84,0.008,24,done,0.460482,0.762077,0.840885,0.811518,0.83935,0.605839,0.8252,0.453762,2026-07-23T22:16:27
swin_S2,swin,swin_small_patch4_window7_224,small,mid,512,48.84,0.008,16,done,0.47595,0.758454,0.841926,0.816071,0.82491,0.624088,0.820467,0.451557,2026-07-23T22:28:54
swin_S3,swin,swin_small_patch4_window7_224,small,hi,768,48.84,0.008,8,done,0.635383,0.669082,0.545037,0.669082,1.0,0.0,0.801737,0.0,2026-07-23T22:49:38
swin_M1,swin,swin_s3_base_224,medium,lo,384,70.36,0.006,16,done,0.514983,0.704106,0.776951,0.765009,0.805054,0.5,0.784521,0.314478,2026-07-23T23:02:50
swin_M2,swin,swin_s3_base_224,medium,mid,512,70.36,0.006,10,done,0.61296,0.687198,0.614904,0.691808,0.960289,0.135036,0.804233,0.174361,2026-07-23T23:24:21
swin_M3,swin,swin_s3_base_224,medium,hi,768,70.36,0.006,6,done,0.613523,0.690821,0.609944,0.690051,0.976534,0.113139,0.80867,0.188108,2026-07-24T00:02:45
swin_L1,swin,swin_base_patch4_window7_224,large,lo,384,86.74,0.004,10,done,0.610318,0.692029,0.616064,0.695937,0.958484,0.153285,0.806378,0.195538,2026-07-24T00:15:03
swin_L2,swin,swin_base_patch4_window7_224,large,mid,512,86.74,0.004,6,done,0.614248,0.688406,0.611373,0.69171,0.963899,0.131387,0.80543,0.178548,2026-07-24T00:33:08
swin_L3,swin,swin_base_patch4_window7_224,large,hi,768,86.74,0.004,4,done,0.617241,0.678744,0.61055,0.676904,0.994585,0.040146,0.805556,0.126756,2026-07-24T01:05:49
vit_T1,vit,vit_tiny_patch16_224,tiny,lo,384,5.52,0.01,32,done,0.649161,0.669082,0.487931,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T01:16:21
vit_T2,vit,vit_tiny_patch16_224,tiny,mid,512,5.52,0.01,24,done,0.640477,0.669082,0.523459,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T01:27:19
vit_T3,vit,vit_tiny_patch16_224,tiny,hi,768,5.52,0.01,10,done,0.637153,0.669082,0.523841,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T01:39:51
vit_S1,vit,vit_small_patch16_224,small,lo,384,21.67,0.008,24,done,0.568367,0.684783,0.712819,0.727838,0.844765,0.361314,0.781955,0.232795,2026-07-24T01:50:45
vit_S2,vit,vit_small_patch16_224,small,mid,512,21.67,0.008,16,done,0.589417,0.676329,0.689728,0.710294,0.871841,0.281022,0.78282,0.187736,2026-07-24T02:01:48
vit_S3,vit,vit_small_patch16_224,small,hi,768,21.67,0.008,8,done,0.611923,0.693237,0.629299,0.707182,0.924188,0.226277,0.801252,0.213639,2026-07-24T02:16:14
vit_M1,vit,vit_medium_patch16_gap_240,medium,lo,384,38.33,0.006,16,done,0.611066,0.690821,0.618844,0.690051,0.976534,0.113139,0.80867,0.188108,2026-07-27T14:10:12
vit_M2,vit,vit_medium_patch16_gap_240,medium,mid,512,38.33,0.006,10,done,0.635146,0.669082,0.595157,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T02:34:52
vit_M3,vit,vit_medium_patch16_gap_240,medium,hi,768,38.33,0.006,6,done,0.636247,0.669082,0.586629,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T02:54:14
vit_L1,vit,vit_base_patch16_224,large,lo,384,85.8,0.004,10,done,0.637249,0.669082,0.477048,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T03:05:24
vit_L2,vit,vit_base_patch16_224,large,mid,512,85.8,0.004,6,done,0.63342,0.669082,0.54848,0.669082,1.0,0.0,0.801737,0.0,2026-07-24T03:20:51
vit_L3,vit,vit_base_patch16_224,large,hi,768,85.8,0.004,4,done,0.61232,0.678744,0.621466,0.68509,0.962094,0.105839,0.8003,0.134195,2026-07-24T03:53:12
xception_T1,xception,legacy_xception,tiny,lo,384,20.81,0.01,32,done,0.742379,0.818841,0.875148,0.848276,0.888087,0.678832,0.867725,0.582386,2026-07-27T14:28:01
xception_T2,xception,legacy_xception,tiny,mid,512,20.81,0.01,24,done,0.422317,0.833333,0.892593,0.880952,0.868231,0.762774,0.874545,0.62653,2026-07-24T04:06:34
xception_T3,xception,legacy_xception,tiny,hi,768,20.81,0.01,10,done,0.399439,0.842995,0.899385,0.901515,0.859206,0.810219,0.879852,0.655321,2026-07-24T04:19:14
xception_S1,xception,xception41,small,lo,384,24.92,0.008,24,done,0.818991,0.792271,0.851636,0.852399,0.833935,0.708029,0.843066,0.536313,2026-07-24T04:30:33
xception_S2,xception,xception41,small,mid,512,24.92,0.008,16,done,0.704215,0.791063,0.872638,0.856075,0.826715,0.718978,0.841139,0.536992,2026-07-24T04:42:28
xception_S3,xception,xception41,small,hi,768,24.92,0.008,8,done,0.625288,0.81401,0.894474,0.883142,0.83213,0.777372,0.856877,0.594168,2026-07-24T04:56:47
xception_M1,xception,xception65,medium,lo,384,37.87,0.006,16,done,0.774701,0.77657,0.848191,0.848771,0.810469,0.708029,0.829178,0.507942,2026-07-24T05:07:50
xception_M2,xception,xception65,medium,mid,512,37.87,0.006,10,done,0.919783,0.788647,0.856409,0.846435,0.83574,0.693431,0.841054,0.525871,2026-07-24T05:18:49
xception_M3,xception,xception65,medium,hi,768,37.87,0.006,6,done,0.711872,0.78744,0.85577,0.835106,0.850181,0.660584,0.842576,0.515714,2026-07-24T05:35:39
xception_L1,xception,xception71,large,lo,384,40.29,0.004,10,done,0.877213,0.786232,0.860803,0.853659,0.8213,0.715328,0.837167,0.527265,2026-07-24T05:47:03
xception_L2,xception,xception71,large,mid,512,40.29,0.004,6,done,0.855353,0.795894,0.855457,0.859813,0.830325,0.726277,0.844812,0.547727,2026-07-24T06:00:07
xception_L3,xception,xception71,large,hi,768,40.29,0.004,4,done,0.713644,0.824879,0.901536,0.885122,0.848375,0.777372,0.866359,0.613909,2026-07-24T06:22:55
