family,k,draw_idx,L_indiv,bias_primal,var_primal,gap_primal,bias_dual,var_dual,auc_primal,auc_dual
densenet,3,27,0.45250684083721565,0.42815522008179563,0.027695107664981292,-0.0033434869095612663,0.428211825699528,0.02429501513768767,0.8600753643047248,0.8618079527787293
densenet,3,28,0.49798854863796116,0.4361358040180667,0.06708326859844654,-0.00523052397855206,0.4469412528241155,0.05104729581384576,0.8580924398534877,0.8604376926928246
densenet,3,29,0.48971359763937955,0.4303272532734463,0.06267267672383144,-0.0032863323578981585,0.44055492112160355,0.04915867651777607,0.8602334712377138,0.8622756857888219
densenet,4,0,0.4572418245652713,0.4216785290568342,0.03991087867838896,-0.004347583169951819,0.42318272089997905,0.03405910366529224,0.8664259927797833,0.8685670241640094
densenet,4,1,0.4718280824427994,0.44489310937428317,0.03721284919754719,-0.010277876129030972,0.43862010434854076,0.033207978094258746,0.848401802419036,0.8522820100661415
densenet,4,2,0.4934668648761735,0.4329820785289115,0.07728718503893098,-0.016802398691668996,0.4329469701256582,0.06051989475051539,0.8593045930064035,0.8620846399114601
densenet,4,3,0.4608994613366414,0.42179513160677407,0.0477060658445587,-0.008601736114691394,0.42009824696399234,0.04080121437264904,0.866129542280429,0.8690149938074784
densenet,4,4,0.4638160114514953,0.43646630171027234,0.0317313669631432,-0.004381657221920243,0.435611895040885,0.028204116410610366,0.8526706896097394,0.8548907744604601
densenet,4,5,0.47565883831843003,0.44857717460330016,0.033631784207021155,-0.006550120491891298,0.4463167192905872,0.029342119027842842,0.8457271601359719,0.8484940314632796
densenet,4,6,0.49297477190251826,0.42887017902223484,0.0681118926480211,-0.004007299767737671,0.4382769915579213,0.05469778034459697,0.865194076260244,0.8672560541779757
densenet,4,7,0.48054758258273167,0.44673197170826906,0.04627397468202902,-0.01245836380756643,0.4415104960438955,0.03903708653883624,0.8510435057577275,0.8557867137473978
densenet,4,8,0.47724673446341326,0.44650306056987493,0.04369949374995086,-0.012955819856412532,0.44011590605269624,0.037130828410717,0.8497654747160663,0.8553980342037998
densenet,4,9,0.4578968503538482,0.4304327464261272,0.03692406136183092,-0.009459957434109934,0.42686376892742994,0.03103308142641827,0.8593902342617724,0.8617684260454822
densenet,4,10,0.48755611988190445,0.4263273718558178,0.06692241211326924,-0.005693664087182582,0.43386992421671267,0.05368619566519184,0.8628422356320323,0.865569580226093
densenet,4,11,0.497902628021076,0.430343183364921,0.07821151495181776,-0.01065207029566273,0.4364177572341025,0.06148487078697346,0.8619265329784711,0.8646407019947826
densenet,4,12,0.46132212740893463,0.4214813532526521,0.0488713027473565,-0.009030528591074005,0.42104586897588064,0.04027625843305392,0.8673351076444703,0.8705631241929959
densenet,4,13,0.4767762284483986,0.44782173267328834,0.035992539024453395,-0.0070380432493430956,0.4454811297720758,0.03129509867632278,0.8449695644153997,0.8488431842736304
densenet,4,14,0.4660599005036698,0.43325189655825935,0.0441806415358341,-0.011372637590423673,0.4284437559446445,0.037616144559025316,0.8572755540330443,0.8607077920366808
densenet,4,15,0.5025419051900856,0.4351706495035866,0.08441427451483063,-0.01704301882833159,0.43790352906451546,0.06463837612557002,0.8587314553743182,0.8627895333210361
densenet,4,16,0.46206180952506204,0.4457180937752958,0.01788727698068002,-0.0015435612309138147,0.4454212483738776,0.01664056115118444,0.8458786792800864,0.8458259769690901
densenet,4,17,0.49495812314308374,0.4422810242046521,0.07338917783141613,-0.02071207889298443,0.4370616358557022,0.057896487287381615,0.8518669793670453,0.8573348441329153
